LID,BPID,FPID,BLID,FLID
1140,11301,11196,545,493
1141,11303,11402,546,596
1142,11413,11304,601,547
1143,11311,11318,550,554
1144,11321,11312,555,551
1145,11243,11314,516,552
1146,11317,11244,553,517
1147,11311,11318,550,554
1148,11321,11312,555,551
1149,11323,11326,556,558
1150,11329,11324,559,557
1151,11323,11326,556,558
1152,11329,11324,559,557
1153,11353,11330,571,560
1154,11341,11342,565,566
1155,11341,11342,565,566
1156,11349,11248,569,519
1157,11247,11350,518,570
1158,11353,11330,571,560
1159,11273,11354,531,572
1160,11361,11374,575,582
1161,11373,11362,581,576
1162,11365,11270,577,530
1163,11385,11366,587,578
1164,11373,11362,581,576
1165,11361,11374,575,582
1166,11377,11386,583,588
1167,11401,11378,595,584
1168,11385,11366,587,578
1169,11377,11386,583,588
1170,11389,11390,589,590
1171,11389,11390,589,590
1172,11401,11378,595,584
1173,11303,11402,546,596
1174,11409,11212,599,501
1175,11211,11410,500,600
1176,11413,11304,601,547
1177,11473,11556,631,673
1178,11559,11474,674,632
1179,11481,11476,635,633
1180,11479,11482,634,636
1181,11481,11476,635,633
1182,11479,11482,634,636
1183,11489,11484,639,637
1184,11487,11490,638,640
1185,11493,11488,641,639
1186,11489,11484,639,637
1187,11487,11490,638,640
1188,11491,11494,640,642
1189,11497,11492,643,641
1190,11493,11488,641,639
1191,11491,11494,640,642
1192,11495,11498,642,644
1193,11501,11496,645,643
1194,11497,11492,643,641
1195,11495,11498,642,644
1196,11499,11502,644,646
1197,11505,11500,647,645
1198,11501,11496,645,643
1199,11499,11502,644,646
1200,11503,11506,646,648
1201,11675,11504,732,647
1202,11505,11500,647,645
1203,11503,11506,646,648
1204,11507,11664,648,727
1205,11513,11508,651,649
1206,11511,11514,650,652
1207,11517,11512,653,651
1208,11513,11508,651,649
1209,11511,11514,650,652
1210,11515,11518,652,654
1211,11521,11516,655,653
1212,11517,11512,653,651
1213,11515,11518,652,654
1214,11519,11522,654,656
1215,11525,11520,657,655
1216,11521,11516,655,653
1217,11519,11522,654,656
1218,11523,11526,656,658
1219,11529,11524,659,657
1220,11525,11520,657,655
1221,11523,11526,656,658
1222,11527,11530,658,660
1223,11659,11528,724,659
1224,11529,11524,659,657
1225,11527,11530,658,660
1226,11531,11660,660,725
1227,11683,11532,736,661
1228,11533,11536,661,663
1229,11539,11534,664,662
1230,11535,11684,662,737
1231,11533,11536,661,663
1232,11537,11640,663,715
1233,11651,11538,720,664
1234,11539,11534,664,662
1235,11687,11540,738,665
1236,11543,11676,666,733
1237,11549,11544,669,667
1238,11547,11550,668,670
1239,11549,11544,669,667
1240,11547,11550,668,670
1241,11735,11552,762,671
1242,11555,11724,672,757
1243,11473,11556,631,673
1244,11557,11784,673,787
1245,11795,11558,792,674
1246,11559,11474,674,632
1247,11565,11560,677,675
1248,11563,11566,676,678
1249,11565,11560,677,675
1250,11563,11566,676,678
1251,11573,11568,681,679
1252,11571,11574,680,682
1253,11573,11568,681,679
1254,11571,11574,680,682
1255,11747,11580,768,685
1256,11591,11736,690,763
1257,11599,11612,694,701
1258,11611,11600,700,695
1259,11611,11600,700,695
1260,11599,11612,694,701
1261,11639,11616,714,703
1262,11627,11628,708,709
1263,11627,11628,708,709
1264,11639,11616,714,703
1265,11537,11640,663,715
1266,11651,11538,720,664
1267,11659,11528,724,659
1268,11531,11660,660,725
1269,11507,11664,648,727
1270,11675,11504,732,647
1271,11543,11676,666,733
1272,11683,11532,736,661
1273,11535,11684,662,737
1274,11687,11540,738,665
1275,11711,11688,750,739
1276,11699,11700,744,745
1277,11699,11700,744,745
1278,11707,11712,748,751
1279,11723,11708,756,749
1280,11711,11688,750,739
1281,11707,11712,748,751
1282,11719,11732,754,761
1283,11731,11720,760,755
1284,11723,11708,756,749
1285,11555,11724,672,757
1286,11731,11720,760,755
1287,11719,11732,754,761
1288,11735,11552,762,671
1289,11591,11736,690,763
1290,11743,11756,766,773
1291,11755,11744,772,767
1292,11747,11580,768,685
1293,11755,11744,772,767
1294,11743,11756,766,773
1295,11783,11760,786,775
1296,11771,11772,780,781
1297,11771,11772,780,781
1298,11779,11792,784,791
1299,11791,11780,790,785
1300,11783,11760,786,775
1301,11557,11784,673,787
1302,11791,11780,790,785
1303,11779,11792,784,791
1304,11795,11558,792,674
